PATH,DURATION,TRANSCRIPT
thesis-asr/audios/audio15_12.flac,11.520,dagdag pa natin ang katotohanan na dine rin sa pilipinas mayroon tayong mga kultura at  tradisyon na are laang naman ang nagbibigay kulay at kasaysayan sa ating bansa
thesis-asr/audios/audio05_10.flac,4.317,pero wag wag kayong mag alala hindi naman kami galit
thesis-asr/audios/audio18_03.flac,5.621,ngunit hindi natin dapat kalimutan ang mga positibong bagay na dine laang din makikita
thesis-asr/audios/audio04_08.flac,7.850,ito rin ang dahilan kung bakit dapat nating suportahan ang ating mga atleta at iba pang nagbibigay ng karangalan sa ating bansa
thesis-asr/audios/audio06_06.flac,7.243,dine sa pilipinas mayroon din tayong mga talento at kakayahan na are laang naman ang maghahatid ng karangalan sa ating bansa
thesis-asr/audios/audio12_10.flac,8.828,ganire kahalaga ang bawat isa sa atin at dine laang natin mapapakita ang tunay na pagmamahal sa ating bansa at kapwa pilipino
thesis-asr/audios/audio12_02.flac,9.764,are din ang dahilan kung bakit maraming kabataan ang hindi nakakapag aral at maraming mahihirap ang hindi nakakatanggap ng sapat na serbisyong pangkalusugan
thesis-asr/audios/audio06_03.flac,5.732,ngunit hindi rin natin dapat kalimutan ang mga positibong bagay na dine laang din makikita
thesis-asr/audios/audio01_33.flac,5.283,ganun talaga ang buhay dito sa batangas puno ng kulay at saya
thesis-asr/audios/audio20_13.flac,10.528,ganire kahalaga ang ating mga festival at ritwal dahil are ang nagpapakita ng ating pagkakakilanlan bilang mga pilipino
thesis-asr/audios/audio19_03.flac,6.794,ngunit hindi din natin dapat kalimutan ang mga positibong bagay na din lang makikita
thesis-asr/audios/audio25_05.flac,11.855,are rin ang dahilan kung bakit dapat nating ipagpatuloy ang ating pagkilos upang mas mapatung mapag tagumpayan ang mga hamon na ating kinakaharap
thesis-asr/audios/audio04_06.flac,9.103,dito sa pilipinas maari din tayong mga talento at kakayahan na ito lang laang naman ang maghahatid ng karangalan sa ating bansa
thesis-asr/audios/audio15_08.flac,7.384,are din ang dahilan kung bakit dapat nating suportahan ang ating mga atleta at iba pang nagbibigay ng karangalan sa ating bansa
thesis-asr/audios/audio07_09.flac,5.210,sa huli dine sa pilipinas makikita natin ang mga pagkakataong are laang rin naman darating
thesis-asr/audios/audio08_13.flac,8.009,ganire kahalaga ang ating mga festival at mga ritwal dahil are ang nagpapakita ng ating pagkakakilanlan bilang mga pilipino
thesis-asr/audios/audio08_09.flac,6.065,sa huli dine sa pilipinas makikita natin ang mga pagkakataong are laang din naman darating
thesis-asr/audios/audio07_10.flac,6.525,ganire kahalaga ang bawat isa sa atin at dine laang natin mapapakita ang tunay na pagmamahal sa ating bansa at kapwa pilipino
thesis-asr/audios/audio19_12.flac,10.623,dagdag pa natin ang katotohanan na di din rin sa pilipinas mayroon tayong mga kultura at  tradisyon na are laang naman ang nagbibigay kulay at kasaysayan sa ating bansa
thesis-asr/audios/audio09_11.flac,9.157,are din ang dahilan kung bakit dapat nating alagaan ang ating mga tradisyon at kultura upang mapangalagaan ang ating pagkakakilanlan bilang isang bansa
thesis-asr/audios/audio20_09.flac,9.267,sa huli dine sa pilipinas makikita natin ang mga pagkakataong are laang din namang darating
thesis-asr/audios/audio01_23.flac,5.848,mayroon din kaming mga taga doon sa kabundukan na may kakaibang salita at kultura
thesis-asr/audios/audio03_07.flac,7.450,kahit pa kayo ay taga batangas pwede naman kayong mag matuto ng ibat ibang putahe mula sa ibat ibang lugar
thesis-asr/audios/audio19_11.flac,9.214,are din ang dahilan kung bakit dapat nating alagaan ang ating mga tradisyon at kultura upang mapangalagaan ang ating pagkakakilanlan bilang isang bansa
